Data,VelocidadeMediaVento
2014-03-03,4.3333330000000005
2014-03-04,3.4
2014-03-05,3.8666669999999996
2014-03-06,3.933333
2014-03-07,3.3
2014-03-08,3.1333330000000004
2014-03-09,3.0
2014-03-10,2.4666669999999997
2014-03-11,2.4666669999999997
2014-03-12,1.633333
2014-03-13,1.7333330000000002
2014-03-14,1.9333330000000002
2014-03-15,1.9333330000000002
2014-03-16,4.2
2014-03-17,4.366667
2014-03-18,4.933333
2014-03-19,3.3
2014-03-20,3.3
2014-03-21,5.266667
2014-03-22,4.433333
2014-03-23,4.5
2014-03-24,5.0
2014-03-25,4.433333
2014-03-26,1.8666669999999999
2014-03-27,3.3
2014-03-28,3.3
2014-03-29,2.8666669999999996
2014-03-30,3.1333330000000004
2014-03-31,3.566667
2014-04-01,5.0
2014-04-02,2.2
2014-04-03,3.1333330000000004
2014-04-04,1.7666669999999998
2014-04-05,1.2
2014-04-06,1.366667
2014-04-07,2.5333330000000003
2014-04-08,1.4
2014-04-09,2.6333330000000004
2014-04-10,2.4666669999999997
2014-04-11,3.3
2014-04-12,3.333333
2014-04-13,3.8666669999999996
2014-04-14,4.133333
2014-04-15,4.433333
2014-04-16,3.1333330000000004
2014-04-17,3.7
2014-04-18,3.666667
2014-04-19,4.866667
2014-04-20,3.4
2014-04-21,3.9666669999999997
2014-04-22,4.466667
2014-04-23,4.533333
2014-04-24,3.0
2014-04-25,2.9666669999999997
2014-04-26,1.6
2014-04-27,3.6
2014-04-28,3.566667
2014-04-29,4.433333
2014-04-30,3.0
2014-05-01,1.8666669999999999
2014-05-02,3.1
2014-05-03,1.9333330000000002
2014-05-04,3.0333330000000003
2014-05-05,3.1333330000000004
2014-05-06,2.433333
2014-05-07,0.833333
2014-05-08,3.8666669999999996
2014-05-09,3.0
2014-05-10,2.4666669999999997
2014-05-11,3.3
2014-05-12,3.8666669999999996
2014-05-13,2.6
2014-05-14,2.7
2014-05-15,1.833333
2014-05-16,2.1
2014-05-17,3.9666669999999997
2014-05-18,5.9
2014-05-19,3.933333
2014-05-20,3.8666669999999996
2014-05-21,3.6333330000000004
2014-05-22,2.833333
2014-05-23,3.733333
2014-05-24,2.733333
2014-05-25,3.333333
2014-05-26,4.133333
2014-05-27,1.633333
2014-05-28,0.533333
2014-05-29,2.2
2014-05-30,4.7
2014-05-31,3.3
2014-06-01,3.8666669999999996
